No,Tahun,Provinsi,Kode Provinsi,IKP,Kelompok IKP,Kerentanan Area
103,2022,ACEH,11,70.16,5,Tahan
104,2022,SUMATERA UTARA,12,71.22,5,Tahan
105,2022,SUMATERA BARAT,13,79.45,6,Sangat Tahan
106,2022,RIAU,14,67.59,5,Tahan
107,2022,JAMBI,15,69.5,5,Tahan
108,2022,SUMATERA SELATAN,16,69.64,5,Tahan
109,2022,BENGKULU,17,67.99,5,Tahan
110,2022,LAMPUNG,18,78.61,6,Sangat Tahan
111,2022,KEPULAUAN BANGKA BELITUNG,19,71.71,5,Tahan
112,2022,KEPULAUAN RIAU,21,63.83,4,Agak Tahan
113,2022,DKI JAKARTA,31,78.25,6,Sangat Tahan
114,2022,JAWA BARAT,32,77.55,6,Sangat Tahan
115,2022,JAWA TENGAH,33,82.95,6,Sangat Tahan
116,2022,DI YOGYAKARTA,34,80.88,6,Sangat Tahan
117,2022,JAWA TIMUR,35,79.85,6,Sangat Tahan
118,2022,BANTEN,36,73.78,5,Tahan
119,2022,BALI,51,85.19,6,Sangat Tahan
120,2022,NUSA TENGGARA BARAT,52,76.58,6,Sangat Tahan
121,2022,NUSA TENGGARA TIMUR,53,68.42,5,Tahan
122,2022,KALIMANTAN BARAT,61,70.81,5,Tahan
123,2022,KALIMANTAN TENGAH,62,69.96,5,Tahan
124,2022,KALIMANTAN SELATAN,63,81.05,6,Sangat Tahan
125,2022,KALIMANTAN TIMUR,64,77.65,6,Sangat Tahan
126,2022,KALIMANTAN UTARA,65,71.04,5,Tahan
127,2022,SULAWESI UTARA,71,74.3,5,Tahan
128,2022,SULAWESI TENGAH,72,75.92,6,Sangat Tahan
129,2022,SULAWESI SELATAN,73,81.38,6,Sangat Tahan
130,2022,SULAWESI TENGGARA,74,75.04,6,Sangat Tahan
131,2022,GORONTALO,75,80.35,6,Sangat Tahan
132,2022,SULAWESI BARAT,76,74.04,5,Tahan
133,2022,MALUKU,81,60.2,4,Agak Tahan
134,2022,MALUKU UTARA,82,58.39,4,Agak Tahan
135,2022,PAPUA BARAT,91,45.92,2,Rentan
136,2022,PAPUA,94,37.8,2,Rentan
137,2023,ACEH,11,72.96,5,Tahan
138,2023,SUMATERA UTARA,12,75.97,6,Sangat Tahan
139,2023,SUMATERA BARAT,13,83.22,6,Sangat Tahan
140,2023,RIAU,14,68.68,5,Tahan
141,2023,JAMBI,15,72.17,5,Tahan
142,2023,SUMATERA SELATAN,16,73.82,5,Tahan
143,2023,BENGKULU,17,72.27,5,Tahan
144,2023,LAMPUNG,18,81.56,6,Sangat Tahan
145,2023,KEPULAUAN BANGKA BELITUNG,19,71.14,5,Tahan
146,2023,KEPULAUAN RIAU,21,65.1,4,Agak Tahan
147,2023,DKI JAKARTA,31,83.8,6,Sangat Tahan
148,2023,JAWA BARAT,32,82.19,6,Sangat Tahan
149,2023,JAWA TENGAH,33,84.8,6,Sangat Tahan
150,2023,DI YOGYAKARTA,34,83.17,6,Sangat Tahan
151,2023,JAWA TIMUR,35,82.46,6,Sangat Tahan
152,2023,BANTEN,36,78.71,6,Sangat Tahan
153,2023,BALI,51,87.65,6,Sangat Tahan
154,2023,NUSA TENGGARA BARAT,52,76.51,6,Sangat Tahan
155,2023,NUSA TENGGARA TIMUR,53,71.25,5,Tahan
156,2023,KALIMANTAN BARAT,61,72.2,5,Tahan
157,2023,KALIMANTAN TENGAH,62,68.9,5,Tahan
158,2023,KALIMANTAN SELATAN,63,81.26,6,Sangat Tahan
