Tahun;Provinsi;IKP;Kelompok IKP;Kerentanan Area;PoU;Jumlah_Penduduk;Penduduk_Undernourish;Ketersediaan Energi Nabati;Ketersediaan Energi Hewani;Ketersediaan Energi;Skor PPH;Konsumsi Energi (kkal/kap/hari);Jumlah_penduduk_gizi_cukup;persentase_penduduk_kurang_gizi;persentase_penduduk_gizi_cukup
2019;Jambi;68.23;5.0;Tahan;9.0;3566200.0;320958.0;2864.0;189.0;3053.0;84.6;2060.0;3245242.0;9.0;91.0
2019;Jawa Barat;76.44;6.0;Sangat Tahan;3.72;49023200.0;1823663.0;2328.0;217.0;2545.0;86.1;2199.0;47199537.0;4.0;96.0
2019;Jawa Tengah;78.85;6.0;Sangat Tahan;11.66;34552500.0;4028822.0;3925.0;130.0;4055.0;88.4;2048.0;30523678.0;12.0;88.0
2019;Jawa Timur;73.71;5.0;Tahan;7.5;39744800.0;2980860.0;2103.0;169.0;2272.0;88.4;2089.0;36763940.0;8.0;92.0
2019;Kalimantan Barat;55.17;3.0;Agak Rentan;19.21;5045700.0;969279.0;3183.0;279.0;3462.0;76.3;1913.0;4076421.0;19.0;81.0
2019;Kalimantan Selatan;74.71;6.0;Sangat Tahan;2.54;4216300.0;107094.0;3061.0;142.0;3203.0;84.9;2270.0;4109206.0;3.0;97.0
2019;Kalimantan Tengah;71.57;5.0;Tahan;9.43;2649800.0;249876.0;3294.0;602.0;3896.0;83.7;2150.0;2399924.0;9.0;91.0
2019;Kalimantan Timur;76.9;6.0;Sangat Tahan;7.02;3619700.0;254103.0;2377.0;292.0;2669.0;85.8;2023.0;3365597.0;7.0;93.0
2019;Kalimantan Utara;73.12;5.0;Tahan;10.84;69560.0;7540.0;2321.0;1482.0;3803.0;81.1;2008.0;62020.0;11.0;89.0
2019;Kepulauan Bangka Belitung;56.03;3.0;Agak Rentan;7.9;1451100.0;114637.0;2482.0;311.0;2793.0;86.9;2148.0;1336463.0;8.0;92.0
2019;Kepulauan Riau;59.26;4.0;Agak Tahan;4.12;2241600.0;92354.0;2022.0;444.0;2466.0;83.8;2131.0;2149246.0;4.0;96.0
2019;Lampung;71.36;5.0;Tahan;10.58;8457600.0;894814.0;2571.0;124.0;2695.0;80.1;2054.0;7562786.0;11.0;89.0
2019;Maluku;52.35;3.0;Agak Rentan;34.24;1768500.0;605534.0;2234.0;474.0;2708.0;71.1;1781.0;1162966.0;34.0;66.0
2019;Maluku Utara;66.58;5.0;Tahan;35.95;1235700.0;444234.0;2260.0;399.0;2659.0;76.7;1764.0;791466.0;36.0;64.0
2019;Nusa Tenggara Barat;62.43;4.0;Agak Tahan;2.79;5152400.0;143752.0;5577.0;1704.0;7281.0;94.2;2468.0;5008648.0;3.0;97.0
2019;Nusa Tenggara Timur;50.69;3.0;Agak Rentan;14.19;5437200.0;771539.0;3766.0;180.0;3946.0;69.2;1928.0;4665661.0;14.0;86.0
2019;Papua;25.13;1.0;Sangat Rentan;38.35;3347100.0;1283613.0;2933.0;422.0;3355.0;80.8;1865.0;2063487.0;38.0;62.0
2019;Papua Barat;30.12;1.0;Sangat Rentan;19.31;96360.0;18607.0;2589.0;321.0;2910.0;65.9;1918.0;77753.0;19.0;81.0
2019;Riau;62.37;4.0;Agak Tahan;8.39;6835100.0;573465.0;2958.0;223.0;3181.0;84.0;2072.0;6261635.0;8.0;92.0
2019;Sulawesi Barat;60.37;4.0;Agak Tahan;6.83;1359200.0;92833.0;3585.0;151.0;3736.0;78.8;2125.0;1266367.0;7.0;93.0
2019;Sulawesi Selatan;78.69;6.0;Sangat Tahan;7.69;8819500.0;678220.0;3328.0;244.0;3572.0;83.4;2144.0;8141280.0;8.0;92.0
2019;Sulawesi Tengah;68.17;5.0;Tahan;8.49;3042100.0;258274.0;6463.0;200.0;6663.0;82.2;2018.0;2783826.0;8.0;92.0
2019;Sulawesi Tenggara;76.99;6.0;Sangat Tahan;8.86;2663700.0;236004.0;3110.0;229.0;3339.0;84.8;2090.0;2427696.0;9.0;91.0
2019;Sulawesi Utara;81.44;6.0;Sangat Tahan;3.99;2494100.0;99515.0;2393.0;375.0;2768.0;85.3;2144.0;2394585.0;4.0;96.0
2019;Sumatera Barat;75.43;6.0;Sangat Tahan;4.93;5479500.0;270139.0;2311.0;243.0;2554.0;81.4;2132.0;5209361.0;5.0;95.0
2019;Sumatera Selatan;69.3;5.0;Tahan;9.11;8497200.0;774095.0;1933.0;264.0;2197.0;84.3;2124.0;7723105.0;9.0;91.0
2019;Sumatera Utara;69.81;5.0;Tahan;4.88;14639400.0;714403.0;4202.0;160.0;4362.0;86.1;2179.0;13924997.0;5.0;95.0
2020;Aceh;70.92;5.0;Tahan;8.58;5274871.0;462299.0;2815.0;269.0;3084.0;74.8;2091.0;4812572.0;9.0;91.0
2020;Bali;84.54;6.0;Sangat Tahan;4.01;4317404.0;177017.0;2141.0;515.0;2656.0;91.6;2293.0;4140387.0;4.0;96.0
2020;Banten;73.48;5.0;Tahan;2.11;11904562.0;272091.0;2339.0;261.0;2600.0;85.4;2250.0;11632471.0;2.0;98.0
2020;Bengkulu;70.28;5.0;Tahan;7.72;2010670.0;153960.0;2179.0;284.0;2463.0;86.1;2107.0;1856710.0;8.0;92.0
2020;Di Yogyakarta;80.67;6.0;Sangat Tahan;9.9;3668719.0;388001.0;3398.0;272.0;3670.0;94.3;2147.0;3280718.0;11.0;89.0
2020;Dki Jakarta;77.97;6.0;Sangat Tahan;1.94;10562088.0;205182.0;2664.0;2438.0;5102.0;86.3;2199.0;10356906.0;2.0;98.0
2020;Gorontalo;80.4;6.0;Sangat Tahan;10.33;1171681.0;122545.0;3121.0;418.0;3539.0;76.6;2045.0;1049136.0;10.0;90.0
2020;Jambi;70.0;5.0;Tahan;9.12;3548228.0;328703.0;2875.0;183.0;3058.0;85.4;2081.0;3219525.0;9.0;91.0
2020;Jawa Barat;76.78;6.0;Sangat Tahan;3.9;48274162.0;1933043.0;2434.0;208.0;2642.0;84.8;2174.0;46341119.0;4.0;96.0
2020;Jawa Tengah;82.31;6.0;Sangat Tahan;11.8;36516035.0;4099108.0;3885.0;141.0;4026.0;88.0;2054.0;32416927.0;11.0;89.0
2020;Jawa Timur;79.9;6.0;Sangat Tahan;8.58;40665696.0;3428216.0;2231.0;164.0;2395.0;87.0;2081.0;37237480.0;8.0;92.0
2020;Kalimantan Barat;71.13;5.0;Tahan;19.92;5414390.0;1016896.0;3042.0;187.0;3229.0;76.4;1908.0;4397494.0;19.0;81.0
2020;Kalimantan Selatan;80.04;6.0;Sangat Tahan;2.72;4073584.0;116106.0;2073.0;284.0;2357.0;84.5;2272.0;3957478.0;3.0;97.0
2020;Kalimantan Tengah;72.58;5.0;Tahan;10.1;2669969.0;271316.0;2847.0;384.0;3231.0;84.6;2141.0;2398653.0;10.0;90.0
2020;Kalimantan Timur;78.24;6.0;Sangat Tahan;8.24;3766039.0;301971.0;2508.0;690.0;3198.0;86.7;2020.0;3464068.0;8.0;92.0
2020;Kalimantan Utara;71.9;5.0;Tahan;12.11;701814.0;8579.0;2607.0;245.0;2852.0;80.5;1944.0;693235.0;1.0;99.0
2020;Kepulauan Bangka Belitung;71.21;5.0;Tahan;9.35;1455678.0;137426.0;2229.0;251.0;2481.0;85.3;2121.0;1318252.0;9.0;91.0
2020;Kepulauan Riau;62.7;4.0;Agak Tahan;6.07;2064564.0;140187.0;1992.0;490.0;2482.0;83.4;2140.0;1924377.0;7.0;93.0
2020;Lampung;77.43;6.0;Sangat Tahan;12.19;9007848.0;1040392.0;2504.0;157.0;2661.0;84.5;2025.0;7967456.0;12.0;88.0
2020;Maluku;58.15;4.0;Agak Tahan;35.55;1848923.0;635314.0;1686.0;410.0;2096.0;70.1;1772.0;1213609.0;34.0;66.0
2020;Maluku Utara;63.12;4.0;Agak Tahan;35.48;1282937.0;444316.0;2477.0;422.0;2899.0;76.6;1773.0;838621.0;35.0;65.0
2020;Nusa Tenggara Barat;75.6;6.0;Sangat Tahan;2.97;5320092.0;155209.0;4335.0;1773.0;6108.0;91.3;2442.0;5164883.0;3.0;97.0
2020;Nusa Tenggara Timur;66.92;5.0;Tahan;13.12;5325566.0;723358.0;3660.0;159.0;3819.0;67.9;1948.0;4602208.0;14.0;86.0
2020;Papua;34.79;1.0;Sangat Rentan;31.49;4303707.0;1068487.0;2961.0;432.0;3393.0;79.1;1914.0;3235220.0;25.0;75.0
2020;Papua Barat;49.4;3.0;Agak Rentan;23.09;1134068.0;22767.0;2589.0;321.0;2910.0;69.3;1903.0;1111301.0;2.0;98.0
2020;Riau;64.12;4.0;Agak Tahan;9.16;6394087.0;636730.0;2952.0;237.0;3189.0;84.4;2076.0;5757357.0;10.0;90.0
2020;Sulawesi Barat;76.36;6.0;Sangat Tahan;9.16;1419229.0;126234.0;1649.0;511.0;2160.0;78.0;2075.0;1292995.0;9.0;91.0
2020;Sulawesi Selatan;81.81;6.0;Sangat Tahan;10.14;9073509.0;901324.0;3060.0;612.0;3672.0;80.2;2093.0;8172185.0;10.0;90.0
2020;Sulawesi Tengah;75.1;6.0;Sangat Tahan;8.85;2985734.0;272730.0;6495.0;179.0;6674.0;81.6;2040.0;2713004.0;9.0;91.0
2020;Sulawesi Tenggara;77.06;6.0;Sangat Tahan;10.06;2624875.0;271972.0;3720.0;206.0;3926.0;81.8;2028.0;2352903.0;10.0;90.0
2020;Sulawesi Utara;77.79;6.0;Sangat Tahan;4.49;2621923.0;112829.0;2168.0;634.0;2802.0;86.0;2152.0;2509094.0;4.0;96.0
2020;Sumatera Barat;78.64;6.0;Sangat Tahan;5.86;5534472.0;324978.0;2639.0;279.0;2918.0;83.8;2110.0;5209494.0;6.0;94.0
2020;Sumatera Selatan;68.67;5.0;Tahan;9.77;8467432.0;840298.0;1857.0;271.0;2128.0;87.3;2128.0;7627134.0;10.0;90.0
2020;Sumatera Utara;71.84;5.0;Tahan;6.73;14799361.0;995932.0;2907.0;217.0;3124.0;85.3;2122.0;13803429.0;7.0;93.0
2021;Aceh;71.63;5.0;Tahan;6.9;5334897.0;368108.0;3574.0;269.0;3843.0;76.5;2171.0;4966789.0;7.0;93.0
2021;Bali;83.82;6.0;Sangat Tahan;7.43;4343454.0;322719.0;2100.0;550.0;2650.0;88.2;2197.0;4020735.0;7.0;93.0
2021;Banten;74.38;5.0;Tahan;2.8;12022946.0;336642.0;2325.0;258.0;2584.0;85.7;2259.0;11686304.0;3.0;97.0
2021;Bengkulu;70.32;5.0;Tahan;8.64;2032384.0;175598.0;2212.0;291.0;2503.0;89.1;2125.0;1856786.0;9.0;91.0
2021;Di Yogyakarta;81.43;6.0;Sangat Tahan;10.18;3687769.0;375415.0;3432.0;304.0;3736.0;95.3;2144.0;3312354.0;10.0;90.0
2021;Dki Jakarta;78.01;6.0;Sangat Tahan;2.2;10605437.0;233320.0;2287.0;253.0;2540.0;86.6;2223.0;10372117.0;2.0;98.0
2021;Gorontalo;80.52;6.0;Sangat Tahan;14.84;1183529.0;175636.0;2795.0;196.0;2991.0;74.3;2009.0;1007893.0;15.0;85.0
2021;Jambi;74.18;5.0;Tahan;9.25;3586395.0;331742.0;2424.0;215.0;2639.0;86.4;2141.0;3254653.0;9.0;91.0
2021;Jawa Barat;77.79;6.0;Sangat Tahan;4.44;48738808.0;2164003.0;2164.0;251.0;2415.0;86.0;2214.0;46574805.0;4.0;96.0
2021;Jawa Tengah;82.73;6.0;Sangat Tahan;12.34;36811142.0;4542495.0;3596.0;136.0;3732.0;88.6;2072.0;32268647.0;12.0;88.0
2021;Jawa Timur;79.7;6.0;Sangat Tahan;9.14;40921084.0;3740187.0;2970.0;215.0;3185.0;88.7;2112.0;37180897.0;9.0;91.0
2021;Kalimantan Barat;71.32;5.0;Tahan;19.6;5474713.0;1073044.0;2224.0;225.0;2449.0;76.7;1941.0;4401669.0;20.0;80.0
2021;Kalimantan Selatan;80.29;6.0;Sangat Tahan;2.78;4116894.0;114450.0;2848.0;142.0;2990.0;83.3;2296.0;4002444.0;3.0;97.0
2021;Kalimantan Tengah;73.68;5.0;Tahan;8.88;2700076.0;239767.0;2847.0;384.0;3231.0;82.7;2194.0;2460309.0;9.0;91.0
2021;Kalimantan Timur;77.46;6.0;Sangat Tahan;12.56;3803462.0;477715.0;2177.0;463.0;2640.0;83.4;1982.0;3325747.0;13.0;87.0
2021;Kalimantan Utara;73.02;5.0;Tahan;12.75;709969.0;90521.0;2532.0;279.0;2811.0;80.6;2023.0;619448.0;13.0;87.0
2021;Kepulauan Bangka Belitung;73.22;5.0;Tahan;11.05;1471787.0;162632.0;1702.0;698.0;2400.0;89.0;2112.0;1309155.0;11.0;89.0
2021;Kepulauan Riau;63.26;4.0;Agak Tahan;7.71;2089891.0;161131.0;2302.0;375.0;2677.0;81.8;2149.0;1928760.0;8.0;92.0
2021;Lampung;77.96;6.0;Sangat Tahan;10.25;9096515.0;932393.0;2952.0;230.0;3182.0;83.7;2221.0;8164122.0;10.0;90.0
2021;Maluku;58.7;4.0;Agak Tahan;29.62;1869521.0;553752.0;2195.0;945.0;3140.0;70.7;1875.0;1315769.0;30.0;70.0
2021;Maluku Utara;59.58;4.0;Agak Tahan;28.86;1299632.0;375074.0;2593.0;407.0;3000.0;74.5;1862.0;924558.0;29.0;71.0
2021;Nusa Tenggara Barat;75.67;6.0;Sangat Tahan;1.78;5387148.0;95891.0;3474.0;26.0;3500.0;93.6;2543.0;5291257.0;2.0;98.0
2021;Nusa Tenggara Timur;67.35;5.0;Tahan;11.84;5394380.0;638695.0;3081.0;147.0;3228.0;73.4;2020.0;4755685.0;12.0;88.0
2021;Papua;35.48;1.0;Sangat Rentan;37.37;4356796.0;1628135.0;3039.0;439.0;3478.0;78.3;1880.0;2728661.0;37.0;63.0
2021;Papua Barat;46.05;2.0;Rentan;24.59;1149373.0;282631.0;2374.0;379.0;2753.0;72.3;1911.0;866742.0;25.0;75.0
2021;Riau;66.84;5.0;Tahan;10.61;6466763.0;686124.0;2595.0;246.0;2841.0;84.1;2080.0;5780639.0;11.0;89.0
2021;Sulawesi Barat;75.49;6.0;Sangat Tahan;10.81;1436719.0;155309.0;3391.0;107.0;3498.0;74.6;2098.0;1281410.0;11.0;89.0
2021;Sulawesi Selatan;80.82;6.0;Sangat Tahan;7.93;9156856.0;726139.0;2992.0;176.0;3168.0;79.0;2145.0;8430717.0;8.0;92.0
2021;Sulawesi Tengah;75.73;6.0;Sangat Tahan;10.63;3014996.0;320494.0;5480.0;168.0;5648.0;77.2;2009.0;2694502.0;11.0;89.0
2021;Sulawesi Tenggara;76.64;6.0;Sangat Tahan;11.17;2659942.0;297116.0;3313.0;210.0;3523.0;80.1;2046.0;2362826.0;11.0;89.0
2021;Sulawesi Utara;78.3;6.0;Sangat Tahan;6.91;2639451.0;182386.0;2329.0;483.0;2812.0;83.1;2109.0;2457065.0;7.0;93.0
2021;Sumatera Barat;79.55;6.0;Sangat Tahan;6.02;5597313.0;336958.0;2356.0;706.0;3062.0;82.7;2135.0;5260355.0;6.0;94.0
2021;Sumatera Selatan;69.55;5.0;Tahan;6.82;8548613.0;583015.0;1891.0;290.0;2181.0;88.5;2232.0;7965598.0;7.0;93.0
2021;Sumatera Utara;72.25;5.0;Tahan;6.33;14970498.0;947633.0;3874.0;194.0;4068.0;85.5;2149.0;14022865.0;6.0;94.0
2022;Aceh;70.16;5.0;Tahan;10.98;5407855.0;593555.0;3566.0;221.0;3787.0;83.8;2064.0;4814300.0;11.0;89.0
2022;Bali;85.19;6.0;Sangat Tahan;7.72;4415064.0;340917.0;2121.0;534.0;2655.0;89.7;2146.0;4074147.0;8.0;92.0
2022;Banten;73.78;5.0;Tahan;2.46;12251985.0;301534.0;2386.0;288.0;2674.0;93.4;2270.0;11950451.0;2.0;98.0
2022;Bengkulu;67.99;5.0;Tahan;11.66;2060092.0;240163.0;2541.0;713.0;3254.0;88.5;2038.0;1819929.0;12.0;88.0
2022;Di Yogyakarta;80.88;6.0;Sangat Tahan;13.48;3761870.0;507041.0;3455.0;277.0;3732.0;96.2;2024.0;3254829.0;13.0;87.0
2022;Dki Jakarta;78.25;6.0;Sangat Tahan;3.42;10679951.0;364722.0;1853.0;295.0;2148.0;89.4;2147.0;10315229.0;3.0;97.0
2022;Gorontalo;80.35;6.0;Sangat Tahan;18.63;1192737.0;222148.0;3952.0;899.0;4851.0;76.8;1958.0;970589.0;19.0;81.0
2022;Jambi;69.5;5.0;Tahan;12.14;3631136.0;440714.0;2462.0;190.0;2652.0;93.4;2070.0;3190422.0;12.0;88.0
2022;Jawa Barat;77.55;6.0;Sangat Tahan;6.75;49405808.0;3336748.0;2366.0;270.0;2636.0;92.3;2116.0;46069060.0;7.0;93.0
2022;Jawa Tengah;82.95;6.0;Sangat Tahan;12.34;37032410.0;4570771.0;1082.0;1581.0;2663.0;90.6;2003.0;32461639.0;12.0;88.0
2022;Jawa Timur;79.85;6.0;Sangat Tahan;10.27;41149974.0;4225829.0;2970.0;215.0;3185.0;92.8;2042.0;36924145.0;10.0;90.0
2022;Kalimantan Barat;70.81;5.0;Tahan;19.22;5541376.0;1064943.0;2320.0;269.0;2589.0;82.5;1892.0;4476433.0;19.0;81.0
2022;Kalimantan Selatan;81.05;6.0;Sangat Tahan;4.47;4182080.0;186772.0;2507.0;282.0;2789.0;87.8;2189.0;3995308.0;4.0;96.0
2022;Kalimantan Tengah;69.96;5.0;Tahan;12.83;2741075.0;351607.0;2148.0;411.0;2559.0;88.0;2116.0;2389468.0;13.0;87.0
2022;Kalimantan Timur;77.65;6.0;Sangat Tahan;16.19;3859783.0;624982.0;2124.0;382.0;2506.0;75.3;1974.0;3234801.0;16.0;84.0
2022;Kalimantan Utara;71.04;5.0;Tahan;23.01;720059.0;165714.0;2538.0;264.0;2802.0;81.5;1858.0;554345.0;23.0;77.0
2022;Kepulauan Bangka Belitung;71.71;5.0;Tahan;15.19;1494621.0;227094.0;1977.0;812.0;2790.0;86.6;2066.0;1267527.0;15.0;85.0
2022;Kepulauan Riau;63.83;4.0;Agak Tahan;11.3;2179820.0;246350.0;2302.0;375.0;2677.0;89.0;2020.0;1933470.0;11.0;89.0
2022;Lampung;78.61;6.0;Sangat Tahan;14.63;9176546.0;1342087.0;3215.0;235.0;3450.0;90.6;2003.0;7834459.0;15.0;85.0
2022;Maluku;60.2;4.0;Agak Tahan;31.68;1881727.0;596111.0;2298.0;509.0;2807.0;73.7;1837.0;1285616.0;32.0;68.0
2022;Maluku Utara;58.39;4.0;Agak Tahan;30.71;1319338.0;405126.0;2126.0;461.0;2587.0;80.5;1844.0;914212.0;31.0;69.0
2022;Nusa Tenggara Barat;76.58;6.0;Sangat Tahan;2.24;5473671.0;122640.0;2770.0;5.0;2775.0;94.6;2460.0;5351031.0;2.0;98.0
2022;Nusa Tenggara Timur;68.42;5.0;Tahan;13.74;5466285.0;751025.0;3042.0;109.0;3151.0;75.3;1974.0;4715260.0;14.0;86.0
2022;Papua;37.8;2.0;Rentan;36.18;4418581.0;1598464.0;1994.0;204.0;2198.0;75.2;1902.0;2820117.0;36.0;64.0
2022;Papua Barat;45.92;2.0;Rentan;29.38;1183307.0;347605.0;2103.0;339.0;2442.0;82.3;1880.0;835702.0;29.0;71.0
2022;Riau;67.59;5.0;Tahan;15.12;6614384.0;1000316.0;4864.0;246.0;5110.0;89.4;2022.0;5614068.0;15.0;85.0
2022;Sulawesi Barat;74.04;5.0;Tahan;9.82;1458606.0;143174.0;3391.0;107.0;3498.0;76.1;2083.0;1315432.0;10.0;90.0
2022;Sulawesi Selatan;81.38;6.0;Sangat Tahan;10.79;9225747.0;995795.0;2967.0;625.0;3592.0;84.4;2078.0;8229952.0;11.0;89.0
2022;Sulawesi Tengah;75.92;6.0;Sangat Tahan;11.92;3066143.0;365395.0;4977.0;332.0;5309.0;80.6;2001.0;2700748.0;12.0;88.0
2022;Sulawesi Tenggara;75.04;6.0;Sangat Tahan;17.14;2701661.0;462995.0;3174.0;207.0;3381.0;80.1;1949.0;2238666.0;17.0;83.0
2022;Sulawesi Utara;74.3;5.0;Tahan;6.22;2659543.0;165321.0;2306.0;261.0;2567.0;89.7;2155.0;2494222.0;6.0;94.0
2022;Sumatera Barat;79.45;6.0;Sangat Tahan;7.31;5640629.0;412125.0;2863.0;307.0;3170.0;83.8;2109.0;5228504.0;7.0;93.0
2022;Sumatera Selatan;69.64;5.0;Tahan;7.37;8657008.0;638208.0;2405.0;429.0;2834.0;93.9;2182.0;8018800.0;7.0;93.0
2022;Sumatera Utara;71.22;5.0;Tahan;8.7;15115206.0;1315677.0;4012.0;257.0;4269.0;91.6;2123.0;13799529.0;9.0;91.0
2023;Aceh;72.96;5.0;Tahan;9.44;5482527.0;517551.0;3496.0;309.0;3805.0;83.4;2053.0;4964976.0;9.0;91.0
2023;Bali;87.65;6.0;Sangat Tahan;3.77;4404262.0;166041.0;1984.0;688.0;2672.0;92.2;2264.0;4238221.0;4.0;96.0
2023;Banten;78.71;6.0;Sangat Tahan;2.87;12307732.0;353232.0;2386.0;288.0;2674.0;93.3;2207.0;11954500.0;3.0;97.0
2023;Bengkulu;72.27;5.0;Tahan;9.25;2086006.0;192956.0;2191.0;375.0;2566.0;89.5;2060.0;1893050.0;9.0;91.0
2023;Di Yogyakarta;83.17;6.0;Sangat Tahan;10.08;3736489.0;376638.0;3462.0;273.0;3735.0;96.3;2053.0;3359851.0;10.0;90.0
